#Cas(sec) 	#srazky(mm)	#Vypary(mm)
3074400	0	-0.0485226600
3078000	0	-0.0485226600
3081600	0	-0.0485226600
3085200	0	-0.0485226600
3088800	0	-0.0485226600
3092400	0	-0.0485226600
3096000	0	-0.0485226600
3099600	0	-0.0485226600
3103200	0	-0.0485226600
3106800	0	-0.0485226600
3110400	0	-0.0365753200
3114000	0	-0.0365753200
3117600	0	-0.0365753200
3121200	0	-0.0365753200
3124800	0	-0.0365753200
3128400	0	-0.0365753200
3132000	0	-0.0365753200
3135600	0	-0.0365753200
3139200	0	-0.0365753200
3142800	0	-0.0365753200
3146400	0	-0.0365753200
3150000	0	-0.0365753200
3153600	0	-0.0365753200
3157200	0	-0.0365753200
3160800	0	-0.0365753200
3164400	0	-0.0365753200
3168000	0	-0.0365753200
3171600	0	-0.0365753200
3175200	0	-0.0365753200
3178800	0	-0.0365753200
3182400	0	-0.0365753200
3186000	0	-0.0365753200
3189600	0	-0.0365753200
3193200	0	-0.0365753200
3196800	0	-0.0278725000
3200400	0	-0.0278725000
3204000	0	-0.0278725000
3207600	0	-0.0278725000
3211200	0	-0.0278725000
3214800	0	-0.0278725000
3218400	0	-0.0278725000
3222000	0	-0.0278725000
3225600	0	-0.0278725000
3229200	0	-0.0278725000
3232800	0	-0.0278725000
3236400	0	-0.0278725000
3240000	0	-0.0278725000
3243600	0	-0.0278725000
3247200	0	-0.0278725000
3250800	0	-0.0278725000
3254400	0	-0.0278725000
3258000	0	-0.0278725000
3261600	0	-0.0278725000
3265200	0	-0.0278725000
3268800	0	-0.0278725000
3272400	0	-0.0278725000
3276000	0	-0.0278725000
3279600	0	-0.0278725000
3283200	0	-0.0149504500
3286800	0	-0.0149504500
3290400	0	-0.0149504500
3294000	0	-0.0149504500
3297600	0	-0.0149504500
3301200	0	-0.0149504500
3304800	0	-0.0149504500
3308400	0	-0.0149504500
3312000	0	-0.0149504500
3315600	0	-0.0149504500
3319200	0	-0.0149504500
3322800	0	-0.0149504500
3326400	0	-0.0149504500
3330000	0	-0.0149504500
3333600	0	-0.0149504500
3337200	0	-0.0149504500
3340800	0	-0.0149504500
3344400	0	-0.0149504500
3348000	0	-0.0149504500
3351600	0	-0.0149504500
3355200	0	-0.0149504500
3358800	0	-0.0149504500
3362400	0	-0.0149504500
3366000	0	-0.0149504500
3369600	0	-0.0124639000
3373200	0	-0.0124639000
3376800	0	-0.0124639000
3380400	0	-0.0124639000
3384000	0	-0.0124639000
3387600	0	-0.0124639000
3391200	0	-0.0124639000
3394800	0	-0.0124639000
3398400	0	-0.0124639000
3402000	0	-0.0124639000
3405600	0	-0.0124639000
3409200	0	-0.0124639000
3412800	0	-0.0124639000
3416400	0	-0.0124639000
3420000	0	-0.0124639000
3423600	0	-0.0124639000
3427200	0	-0.0124639000
3430800	0	-0.0124639000
3434400	0	-0.0124639000
3438000	0	-0.0124639000
3441600	0	-0.0124639000
3445200	0	-0.0124639000
3448800	0	-0.0124639000
3452400	0	-0.0124639000
3456000	0	-0.0239887900
3459600	0	-0.0239887900
3463200	0	-0.0239887900
3466800	0	-0.0239887900
3470400	0	-0.0239887900
3474000	0	-0.0239887900
3477600	0	-0.0239887900
3481200	0	-0.0239887900
3484800	0	-0.0239887900
3488400	0	-0.0239887900
3492000	0	-0.0239887900
3495600	0	-0.0239887900
3499200	0	-0.0239887900
3502800	0	-0.0239887900
3506400	0	-0.0239887900
3510000	0	-0.0239887900
3513600	0	-0.0239887900
3517200	0	-0.0239887900
3520800	0	-0.0239887900
3524400	0	-0.0239887900
3528000	0	-0.0239887900
3531600	0	-0.0239887900
3535200	0	-0.0239887900
3538800	0	-0.0239887900
3542400	0	-0.0352660700
3546000	0	-0.0352660700
3549600	0	-0.0352660700
3553200	0	-0.0352660700
3556800	0	-0.0352660700
3560400	0	-0.0352660700
3564000	0	-0.0352660700
3567600	0	-0.0352660700
3571200	0	-0.0352660700
3574800	0	-0.0352660700
3578400	0	-0.0352660700
3582000	0	-0.0352660700
3585600	0	-0.0352660700
3589200	0	-0.0352660700
3592800	0	-0.0352660700
3596400	0	-0.0352660700
3600000	0	-0.0352660700
3603600	0	-0.0352660700
3607200	0	-0.0352660700
3610800	0	-0.0352660700
3614400	0	-0.0352660700
3618000	0	-0.0352660700
3621600	0	-0.0352660700
3625200	0	-0.0352660700
3628800	0	-0.0409606600
3632400	0	-0.0409606600
3636000	0	-0.0409606600
3639600	0	-0.0409606600
3643200	0	-0.0409606600
3646800	0	-0.0409606600
