					
#					
#	POINT	1	[pressure	head	cm]
#					
#					
#					
#	Obs	Obs	Obs		
2650	-17.6	-18.7		50.40325433	
2660	-17.7	-18.7		50.50937389	
2660	-17.8	-18.6		50.61549346	
2670	-17.8	-18.7		50.72161302	
2670	-17.8	-18.8		50.82773258	
2680	-17.9	-18.9		50.93385214	
2680	-18	-18.7		51.0399717	
2690	-17.8	-18.6		51.14609126	
2690	-17.7	-18.5		51.25221082	
2700	-17.6	-18.5		51.35833039	
2700	-17.5	-18.5		51.46444995	
2710	-17.5	-18.6		51.57056951	
2710	-17.6	-18.6		51.67668907	
2720	-17.6	-18.5		51.78280863	
2720	-17.3	-18.6		51.88892819	
2730	-17.3	-18.7		51.99504775	
2730	-17.5	-18.6		52.10116732	
2740	-17.5	-18.5		52.20728688	
2740	-17.4	-18.3		52.31340644	
2750	-17.1	-18.3		52.419526	
2750	-17.3	-18.4		52.52564556	
2760	-17.3	-18.3		52.63176512	
2760	-16.9	-18.4		52.73788468	
2770	-17.2	-18.4		52.84400424	
2770	-17.2	-18.4		52.95012381	
2780	-17.2	-18.5		53.05624337	
2780	-17.1	-18.6		53.16236293	
2790	-17.5	-18.3		53.26848249	
2790	-17.2	-18.2		53.37460205	
2800	-17	-18.2		53.48072161	
2800	-16.8	-18.1		53.58684117	
2810	-16.6	-18.1		53.69296074	
2810	-16.5	-18.2		53.7990803	
2820	-17.1	-18.1		53.90519986	
2820	-17	-18.1		54.01131942	
2830	-16.7	-18.4		54.11743898	
2830	-17.1	-18.4		54.22355854	
2840	-17.2	-18.2		54.3296781	
2840	-17	-18.2		54.43579767	
2850	-16.9	-18		54.54191723	
2850	-16.7	-18		54.64803679	
2860	-16.8	-18.1		54.75415635	
2860	-16.8	-18		54.86027591	
2870	-16.3	-18.1		54.96639547	
2870	-16.8	-18.1		55.07251503	
2880	-16.9	-18.3		55.17863459	
2880	-17	-18.4		55.28475416	
2890	-17.2	-18.2		55.39087372	
2890	-16.9	-18		55.49699328	
2900	-16.3	-17.9		55.60311284	
2900	-16.4	-18		55.7092324	
2910	-16.6	-18		55.81535196	
2910	-16.7	-18		55.92147152	
2920	-16.5	-18		56.02759109	
2920	-16.6	-17.9		56.13371065	
2930	-16.4	-18.1		56.23983021	
2930	-16.8	-18.3		56.34594977	
2940	-16.8	-18.3		56.45206933	
2940	-16.8	-18		56.55818889	
2950	-16.6	-17.9		56.66430845	
2950	-16.4	-17.8		56.77042802	
2960	-16.2	-17.9		56.87654758	
2960	-16.4	-17.9		56.98266714	
2970	-16.5	-17.9		57.0887867	
2970	-16.5	-17.8		57.19490626	
2980	-16.4	-17.9		57.30102582	
2980	-16.4	-18		57.40714538	
2990	-16.6	-18.1		57.51326495	
2990	-16.6	-17.9		57.61938451	
3000	-16.4	-17.7		57.72550407	
3000	-16.2	-17.7		57.83162363	
3010	-16.2	-17.7		57.93774319	
3010	-16.2	-17.8		58.04386275	
3020	-16.3	-17.8		58.14998231	
3020	-16.2	-17.8		58.25610187	
3030	-16.3	-17.8		58.36222144	
3030	-16.2	-17.9		58.468341	
3040	-16.1	-18		58.57446056	
3040	-16.2	-17.7		58.68058012	
3050	-15.9	-17.6		58.78669968	
3050	-15.8	-17.6		58.89281924	
3060	-15.7	-17.6		58.9989388	
3060	-15.7	-17.6		59.10505837	
3070	-15.7	-17.6		59.21117793	
3070	-15.7	-17.7		59.31729749	
3080	-15.9	-17.8		59.42341705	
3080	-16.1	-18		59.52953661	
3090	-16.2	-17.7		59.63565617	
3090	-16	-17.6		59.74177573	
3100	-15.8	-17.5		59.8478953	
3100	-15.7	-17.5		59.95401486	
3110	-15.7	-17.5		60.06013442	
3110	-15.7	-17.5		60.16625398	
3120	-15.7	-17.4		60.27237354	
3120	-15.6	-17.6		60.3784931	
3130	-15.8	-17.8		60.48461266	
3130	-16	-17.6		60.59073222	
3140	-16	-17.5		60.69685179	
3140	-15.7	-17.2		60.80297135	
3150	-14	-17.3		60.90909091	
3150	-15.1	-17.4		61.01521047	
3160	-15.5	-17.4		61.12133003	
3160	-15.7	-17.4		61.22744959	
3170	-15.6	-17.5		61.33356915	
3170	-15.8	-17.6		61.43968872	
3180	-15.8	-17.7		61.54580828	
3180	-16	-17.5		61.65192784	
3190	-15.7	-17.3		61.7580474	
3190	-15.5	-17.3		61.86416696	
3200	-15.5	-17.3		61.97028652	
3200	-15.5	-17.4		62.07640608	
3210	-15.4	-17.4		62.18252565	
3210	-15.5	-17.4		62.28864521	
